strategy,val_tau_star,val_sharpe_at_tau,val_n_trades,test_sharpe,test_psr,test_n_trades,test_total_log_return,test_max_drawdown_log,test_hit_rate,test_avg_bars_held,p_boot,null_sharpe_mean,null_sharpe_std,deflated_sharpe_within_strategy,deflated_sr_star_within_strategy
baseline_offline_tau,0.44,0.34744182944300733,1292,-0.08891614258017318,0.4580365714126414,3427,-0.023698464542885343,0.3608040282507513,0.5246571345199883,10.772687481762475,0.0,-3.567694771905243,0.5968797054479881,0.0,2.6778649028649735
baseline_online_tau,0.52,-2.2849879843457015,118,-11.591328259665831,0.0024248946511991145,289,-0.19948872169765128,0.2034000216976512,0.4429065743944637,5.608996539792387,1.0,-3.588173187203097,2.1653070741851885,1.3414823029589419e-212,3.5387950298059416
combined_avg_tau,0.18,-1.1036209905321712,2693,-0.11589938284848196,0.40915148560483217,7207,-0.06563280669360393,0.536962375798437,0.5251838490356597,14.323713056750382,0.0,-3.472263255225414,0.35905257550604835,0.0,5.10745946292618
