strategy,n_trades,frac_tp,frac_sl,frac_timeout,median_hold_tp,median_hold_timeout,top_decile_p_signal_hit,bottom_decile_p_signal_hit,top_minus_bottom_p_signal_hit,regime_0_mean_pnl,regime_1_mean_pnl,regime_2_mean_pnl,sigma_top_decile_mean_pnl,sigma_bottom_decile_mean_pnl
baseline_offline_tau,7394,0.25723559642953747,0.0,0.7427644035704626,11.1335436382755,20.0,,,,0.001501765405004634,0.00025756033914365705,-0.00014667841513321927,0.00037832991934798484,-0.0002964230298760505
baseline_online_tau,7419,0.24167677584580133,0.0,0.7583232241541987,10.735080870050195,20.0,,,,-0.0002704530226016246,-0.0001866565191794016,-0.00021179704058723353,0.00040276338942781844,-0.0006461690657002033
conformal_gate_tau,1875,0.424,0.0,0.576,8.929559748427673,20.0,,,,,,-0.0007330613583608391,0.00036571467000152605,-0.004450849491911072
h209_cantelli_k0,7394,0.25723559642953747,0.0,0.7427644035704626,11.1335436382755,20.0,0.5824324324324325,0.0,0.5824324324324325,-4.054359938883902e-05,-0.00012555703362553662,-0.0002385348040594602,-2.3628278813084008e-05,-0.00047405424058916297
mondrian_aci_size,1906,0.42444910807974817,0.0,0.5755508919202519,8.96291718170581,20.0,0.553223388305847,0.31413612565445026,0.2390872626513968,,,-0.0006611895022142546,0.00022568606077181042,-0.004320268294651541
null_random_at_rate,8866,0.10218813444619897,0.0,0.897811865553801,11.070640176600442,20.0,,,,-0.00020886960085516343,-0.00013657351226239924,-0.0002850018419450516,4.428993217007475e-05,-0.0003066565248549703
