fold,k_start,k_end,n,n_trades,sharpe,psr,total_log_return,max_drawdown_log,hit_rate,strategy
0,0,6296,6297,1114,-0.17059319597786923,0.4528623347608696,-0.015074216848496545,0.16554163816474354,0.5242369838420108,baseline_offline_tau
1,6297,12593,6297,1287,-1.6990725533973952,0.11427058153003389,-0.1658079102120124,0.1658079102120124,0.5120435120435121,baseline_offline_tau
2,12594,18890,6297,201,9.79002581907254,0.9960166661607242,0.15097932899312916,-0.0,0.6169154228855721,baseline_offline_tau
3,18891,25187,6297,100,11.206551148768455,0.9865955842174401,0.08884544616424317,-0.0,0.65,baseline_offline_tau
4,25188,31485,6298,725,-1.4580753471594694,0.21448957066716418,-0.08264111263974876,0.08264111263974876,0.5048275862068966,baseline_offline_tau
0,0,6296,6297,51,-24.45227612619294,0.008430279752601256,-0.075655292440086,0.0791665924400858,0.35294117647058826,baseline_online_tau
1,6297,12593,6297,211,-7.202567969818147,0.06799835366673244,-0.0896543292575635,0.0896543292575635,0.47393364928909953,baseline_online_tau
2,12594,18890,6297,3,18.501521094176802,0.6343843853245956,0.0035112999999998016,-0.0,0.6666666666666666,baseline_online_tau
3,18891,25187,6297,2,-1.9126656008293381,0.4862838610212536,-0.0004000000000001225,0.0004000000000001225,0.5,baseline_online_tau
4,25188,31485,6298,22,-29.767039306363568,0.045003095168628326,-0.03729040000000145,0.03729040000000145,0.3181818181818182,baseline_online_tau
0,0,6296,6297,51,-24.45227612619294,0.008430279752601256,-0.075655292440086,0.0791665924400858,0.35294117647058826,conformal_gate_tau
1,6297,12593,6297,211,-7.202567969818147,0.06799835366673244,-0.0896543292575635,0.0896543292575635,0.47393364928909953,conformal_gate_tau
2,12594,18890,6297,2,-3.2194959468351954,0.4862838610212536,-0.0004000000000001225,0.0004000000000001225,0.5,conformal_gate_tau
3,18891,25187,6297,2,-1.9126656008293381,0.4862838610212536,-0.0004000000000001225,0.0004000000000001225,0.5,conformal_gate_tau
4,25188,31485,6298,22,-29.767039306363568,0.045003095168628326,-0.03729040000000145,0.03729040000000145,0.3181818181818182,conformal_gate_tau
0,0,6296,6297,683,-7.024047514026516,0.00014990704173470818,-0.3167042942145003,0.3593504911074132,0.45973645680819913,mondrian_aci_size
1,6297,12593,6297,1042,-5.853054028833071,0.00012214196160123994,-0.4167015024759836,0.4167015024759836,0.46065259117082535,mondrian_aci_size
2,12594,18890,6297,83,2.848251046901844,0.6943382769222679,0.015136398496579972,-0.0,0.5542168674698795,mondrian_aci_size
3,18891,25187,6297,19,2.830098929246758,0.5956184053550639,0.0036279948387730994,-0.0,0.5263157894736842,mondrian_aci_size
4,25188,31485,6298,545,-5.207330654995186,0.005706269340604746,-0.18937406792628658,0.18937406792628658,0.43853211009174314,mondrian_aci_size
0,0,6296,6297,707,-2.0236645920961354,0.07897675202646148,-0.0902175060374428,0.15600999945492433,0.49222065063649223,null_random_at_rate
1,6297,12593,6297,671,-5.980031445856579,4.7532569554620147e-05,-0.26092513886698077,0.26092513886698077,0.4336810730253353,null_random_at_rate
2,12594,18890,6297,699,-3.41713240694421,0.007672789816940947,-0.1202459976171303,0.1202459976171303,0.4234620886981402,null_random_at_rate
3,18891,25187,6297,703,-5.6637401943519885,2.2607001230851686e-05,-0.1848502724038655,0.1848502724038655,0.422475106685633,null_random_at_rate
4,25188,31485,6298,668,-3.337432221331431,0.012093156169234273,-0.13501845538650317,0.13501845538650317,0.46706586826347307,null_random_at_rate
