variant,n_bars_traded,n_trades,n_tp,n_timeout,annualized_sharpe,psr,per_bar_sharpe,per_bar_sharpe_ci_lo,per_bar_sharpe_ci_hi,block_length,ci_excludes_zero,total_log_return,max_drawdown_log,hit_rate,wf_sharpe_mean,wf_sharpe_std,p_boot,null_sharpe_mean
ungated,11906,7394,1902,5492,0.6216561807209373,0.915258445450216,0.007822042574938884,-0.0034289646933472885,0.0191327856851222,1,False,0.43913206669944976,0.32266854038917336,0.5650527454692994,1.6698667563301328,2.97301159086991,0.0,-2.9969972726253062
low_vol_only,397,325,98,227,20.86459264351785,0.9999999999988997,0.048851255238155346,0.03706097775784713,0.059705963863987126,19,True,0.48853219623114363,0.013334774380969305,0.7753846153846153,21.479160435663214,7.304374966864111,0.0,-2.9317527239703645
low_plus_mid_vol,4120,2795,654,2141,4.481901646913305,0.9999999983246775,0.035044351024013716,0.023830473737050103,0.04686845914823177,1,True,1.0795426013207483,0.06752826112509236,0.6082289803220036,4.470908615866237,2.648981311355617,0.0,-2.999358387177671
high_vol_only,7786,4702,1283,3419,-1.5765677271628533,0.0021815988687901417,-0.015630407413150468,-0.026132113660730337,-0.004515133765707793,1,True,-0.7484310896512466,0.881063697689699,0.5370055295618885,-1.3151135457416743,1.6732179969941905,0.0,-3.0011670720072856
