feature,n_finite,mean,std,q10,median,q90,pearson_with_label,spearman_with_label
hurst_rs_128,31486,0.6057136022879124,0.07246050966462654,0.5097242219164129,0.607286182108898,0.6996795252055907,0.04171145259360681,0.041312753058182355
dfa_alpha_128,31486,0.5355094274207102,0.09965596298456082,0.41327627584569954,0.5310199059184109,0.6662755067875743,0.02152332127699635,0.025765152436902056
sampen_128_m2,31486,1.8714413124131561,0.2881638829951073,1.529533769108179,1.86854086133258,2.226480827577899,-0.030389248267273124,-0.026713160413908223
permen_128_m3_tau1,31486,0.9921871612725,0.006819577326838967,0.9836667640772974,0.994133120039109,0.9982782018463318,0.0005350443071352871,-0.004776716079778416
bpv_rv_ratio_w12,31486,0.9870918370847307,0.2597257987515738,0.654935692952646,0.9972512825835705,1.287978188443173,-0.056097656896296505,-0.05060970858144386
bpv_rv_ratio_w24,31486,0.9720657764928702,0.19246426685222887,0.7194264592330922,0.986166490036446,1.1959323704476215,-0.052288822476129024,-0.04924869110980267
bpv_rv_ratio_w48,31486,0.9650994410290127,0.14680456607478173,0.7746491301694689,0.9754587702601981,1.1380471472165088,-0.05219947486946925,-0.04622949315069263
sv_up_w12,31486,5.000509255210531e-05,0.00014194902705218647,3.742210960172302e-06,2.012160878628748e-05,0.00011008387484169519,0.17020817664855964,0.22766736205029098
sv_down_w12,31486,5.2365889869594926e-05,0.00021106926769190663,3.4320892096070413e-06,1.902376610134489e-05,0.00010856521331945145,0.14994703592028602,0.23565511715490203
sv_asymmetry_w12,31486,-2.3607973174896242e-06,0.00015273290745761132,-5.208247745731321e-05,4.2156035390361176e-07,5.073192880129767e-05,-0.04902889702898722,-0.022917198560792797
sv_up_w24,31486,0.0001000108026455492,0.0002140725728318575,1.1075291310933263e-05,4.8008662475255885e-05,0.00021914278620939568,0.185477063291152,0.2242760965418889
sv_down_w24,31486,0.00010473029662298354,0.00031341396044978537,1.0908778218794724e-05,4.556390661515744e-05,0.0002300602859178446,0.16197254151149437,0.23379157478598353
sv_asymmetry_w24,31486,-4.7194939774343025e-06,0.00021332448877217506,-9.190879299538157e-05,5.924688229254411e-07,8.873044873367625e-05,-0.051840759787363855,-0.032488819772738334
sv_up_w48,31486,0.00020001703831218552,0.00032441322621315407,2.9756066812019334e-05,0.00011366587223539347,0.00041811553708510126,0.1737143304593216,0.20581472613677235
sv_down_w48,31486,0.00020941866087620931,0.00046696963411637244,2.941491314720609e-05,0.00010913283477215462,0.0004435534040936694,0.15741312889859496,0.21649604632060793
sv_asymmetry_w48,31486,-9.401622564023786e-06,0.00029305643105448343,-0.0001480931849847716,7.657991725509512e-08,0.0001433188504232174,-0.05852772028038168,-0.045363841799493716
vov_24_24,31486,0.0004290195044657829,0.000489638221026773,9.983423726541956e-05,0.000301952456088717,0.0008766677185326065,0.15031134205830995,0.169925841139611
