feature,importance
minute_sin,4.017179267848657
return_rolling_mean_8,3.1880908702046495
return_rolling_mean_12,2.686167757821416
minute_cos,2.1078196120767556
parkinson_var_rolling_mean_2,1.2783101078056505
return_rolling_mean_24,1.2286463425910301
return_rolling_mean_4,1.1681805729004373
range_pct_rolling_mean_4,1.060070719999242
log_quote_volume_rolling_max_1,0.8135977181164826
range_pct_rolling_mean_2,0.7995651458076392
true_range,0.778519863931513
log_quote_volume_rolling_mean_1,0.744769342632465
range_pct_rolling_min_1,0.7438647907200253
parkinson_var_rolling_mean_4,0.7422722878804118
return_rolling_mean_2,0.7224839707478091
parkinson_var_rolling_max_1,0.6997689652494405
range_hl_rolling_max_1,0.6960145938628294
range_hl,0.6787648430009428
range_hl_rolling_max_2,0.6735653828241004
return_rolling_min_2,0.6572508681128532
range_hl_rolling_mean_2,0.6485934189280561
parkinson_var_rolling_iqr_4,0.6260404517783756
return_rolling_min_4,0.6232406266444743
parkinson_var_rolling_min_1,0.6084991447493676
parkinson_vol,0.5926487098098985
range_hl_rolling_max_4,0.5864831992530104
garman_klass_var_rolling_mean_1,0.5807384808513407
garman_klass_var_rolling_mean_2,0.5704498641096255
range_hl_rolling_min_1,0.5673762209283354
log_trades,0.5467563589476532
range_hl_rolling_mean_1,0.5360757761897144
garman_klass_var_rolling_min_1,0.5226021187592913
close_position,0.5161984970425412
range_pct_rolling_max_2,0.4954259869138541
garman_klass_var_rolling_min_4,0.4873565126582863
garman_klass_var_rolling_min_8,0.4829652753691646
range_pct_rolling_max_1,0.47110847162329506
log_volume,0.46823424085469584
body,0.45678387649822577
parkinson_var,0.4491551824219129
garman_klass_var_rolling_mean_12,0.44528460530674946
close_to_vwap_rolling_mean_4,0.44146027475512206
range_pct_rolling_mean_8,0.4376650278919955
range_x_log_volume,0.42672542414697995
log_quote_volume_rolling_min_1,0.4261553291529152
garman_klass_vol,0.4256903795969886
log_quote_volume_rolling_min_4,0.4221489808053252
parkinson_var_rolling_mean_24,0.4143775346611757
range_pct,0.41362530880641335
log_quote_volume,0.4034836033031524
log_volume_rolling_min_4,0.40301358735912485
range_pct_rolling_mean_1,0.40197334193621037
parkinson_var_rolling_min_12,0.401568867452538
garman_klass_var_rolling_mean_8,0.3908804527372555
garman_klass_var_rolling_max_2,0.39041541290522824
parkinson_var_rolling_min_4,0.37784533645367235
range_hl_rolling_mean_4,0.37535956390787173
log_quote_volume_rolling_max_2,0.3678520910270687
oc_return,0.3598437518451739
range_pct_rolling_min_4,0.3530912405275845
return,0.3499878101139949
close_to_vwap_rolling_max_1,0.34826732453947495
log_quote_volume_rolling_min_12,0.3431694483655811
abs_return_rolling_var_8,0.3390066501203959
close_to_vwap_rolling_min_4,0.3330502692445096
parkinson_var_rolling_mean_8,0.33207990389754144
range_pct_rolling_min_2,0.32960824062772576
parkinson_var_rolling_mean_1,0.32920959852809384
squared_return_rolling_mean_2,0.3291619276362461
range_pct_rolling_min_8,0.32668867231738125
range_pct_rolling_iqr_96,0.3253424881773137
range_pct_rolling_mean_12,0.3208010563929376
imbalance_rolling_ptp_24,0.31806761892886154
abs_return_rolling_max_4,0.3086628556132759
log_volume_rolling_min_8,0.30770906215009736
return_rolling_mean_48,0.29865717619436094
parkinson_var_rolling_ptp_8,0.2941237437759057
parkinson_var_rolling_ptp_4,0.29024949129665323
avg_trade_size,0.2874117962248471
return_rolling_var_12,0.28415026272155186
close_to_vwap_rolling_mean_1,0.2839094030727843
range_hl_rolling_min_12,0.28227260823042777
abs_return_rolling_var_12,0.28028041723257563
range_hl_rolling_mean_12,0.27922610087113675
garman_klass_var_rolling_max_4,0.27869574195754754
range_pct_rolling_mean_24,0.27715776243892243
parkinson_var_rolling_min_24,0.27667561894926085
buy_ratio_lag_10,0.2765114179967645
return_rolling_mean_1,0.2760596720590741
return_rolling_max_8,0.27529658399497237
range_hl_rolling_min_24,0.2698052486684162
return_rolling_max_1,0.26922195757530726
squared_return_rolling_var_24,0.2675002447164594
buy_ratio_rolling_mean_2,0.266712566011114
parkinson_var_rolling_min_8,0.26653891144499764
return_rolling_ptp_8,0.26262700194675626
log_quote_volume_rolling_mean_2,0.261845223196957
parkinson_var_rolling_max_4,0.26158222726774905
return_rolling_var_96,0.2587060410216966
squared_return_rolling_max_8,0.25688312100308797
log_volume_rolling_max_8,0.2539439492366477
log_volume_rolling_min_1,0.25291844179452283
close_to_vwap_rolling_min_1,0.2523205995122386
garman_klass_var_rolling_max_1,0.25166407532316776
garman_klass_var_rolling_ptp_12,0.24998012207360396
close_to_vwap_rolling_mean_12,0.2499034337170017
range_hl_rolling_min_8,0.24595804381503245
close_to_vwap_rolling_ptp_4,0.2439611763798969
abs_return_rolling_iqr_96,0.24322014400045208
range_hl_rolling_iqr_12,0.23855879431206287
garman_klass_var_rolling_ptp_4,0.2334739401837325
parkinson_var_rolling_mean_96,0.2330985464139545
parkinson_var_rolling_max_8,0.23172101588383198
range_hl_rolling_var_48,0.22942002514693965
garman_klass_var_rolling_min_24,0.22921688032765147
abs_return_rolling_mean_1,0.22842230015675072
log_quote_volume_rolling_mean_24,0.22791945149804943
range_pct_rolling_min_12,0.22728390445435648
return_rolling_iqr_96,0.22607650864274453
squared_return,0.22473442483306708
return_rolling_min_1,0.22457328800200746
parkinson_var_rolling_max_2,0.2244724445862859
buy_ratio_rolling_mean_4,0.22324685303613373
garman_klass_var_rolling_min_2,0.2216361197228061
parkinson_var_rolling_iqr_8,0.2211815154988907
garman_klass_var_rolling_mean_4,0.21963700154042382
range_pct_rolling_var_8,0.2194005243681453
close_to_vwap_rolling_var_96,0.21820291595472555
imbalance_rolling_max_1,0.21796056385549217
range_hl_rolling_mean_8,0.21786194062227432
return_x_log_volume,0.21580627114282463
abs_return_rolling_ptp_8,0.21574252444582503
range_pct_rolling_max_4,0.2127343211597183
range_hl_rolling_min_4,0.21242866900532645
parkinson_var_rolling_mean_12,0.21192491719194897
abs_return_rolling_max_12,0.21188850748580546
return_rolling_min_24,0.21078661676604696
abs_return_rolling_mean_4,0.2105089063814126
log_quote_volume_rolling_mean_4,0.21021816729157922
return_rolling_iqr_8,0.20977805774612487
parkinson_var_rolling_var_4,0.20974718130446582
return_rolling_max_12,0.20776181331699434
abs_return_rolling_mean_96,0.20606396066911317
trades,0.20598481423485943
garman_klass_var_rolling_mean_24,0.20558015176201858
abs_return_rolling_mean_24,0.20532913661665514
abs_return_rolling_mean_8,0.2041017580620794
parkinson_var_rolling_var_24,0.19946669984268456
log_quote_volume_rolling_max_24,0.1990426938530599
garman_klass_var_rolling_iqr_12,0.19760492760330983
illiq_rolling_min_24,0.19384382180688714
close_to_vwap_rolling_min_2,0.19361003599536997
abs_return_rolling_max_8,0.18300263547139634
range_hl_rolling_mean_96,0.18266764531868437
range_hl_rolling_max_12,0.1805685985725523
garman_klass_var_rolling_var_96,0.18040179313660787
parkinson_var_rolling_ptp_24,0.17883671165658496
range_hl_rolling_ptp_4,0.17771481978790832
log_quote_volume_rolling_min_24,0.1761990402037064
squared_return_rolling_max_48,0.17489150531427383
abs_return_rolling_iqr_24,0.17331395926702178
log_volume_lag_3,0.17247223901727715
squared_return_rolling_iqr_4,0.17244523500414943
garman_klass_var_rolling_iqr_8,0.17133668391986426
squared_return_rolling_ptp_8,0.17101392418043232
squared_return_rolling_mean_96,0.17083964689830855
buy_ratio_rolling_iqr_4,0.17081189166232802
range_hl_rolling_mean_24,0.16999585516235186
range_pct_rolling_var_96,0.16977296131639125
range_hl_rolling_min_96,0.1696629370797607
log_volume_rolling_max_2,0.16935413498254587
abs_return_rolling_ptp_4,0.16706660066303022
close_to_vwap_rolling_ptp_12,0.16595143464885234
abs_return_rolling_var_4,0.1658127772942627
log_quote_volume_rolling_mean_8,0.16368805520191415
range_pct_rolling_mean_96,0.16267334128497946
abs_return,0.16171014292567482
close_to_vwap,0.16006608403011247
log_open,0.15996930630959486
range_hl_rolling_var_8,0.15981743882043017
squared_return_rolling_max_4,0.1587927245057619
garman_klass_var,0.15846442141508943
squared_return_rolling_mean_4,0.1573045802763118
return_rolling_mean_96,0.1565199814780869
range_hl_lag_3,0.155061525809315
squared_return_rolling_iqr_96,0.15411859028760083
log_volume_rolling_mean_1,0.15199238349478247
garman_klass_var_rolling_ptp_8,0.15165069506644302
squared_return_rolling_ptp_4,0.15131714057178156
abs_return_rolling_ptp_12,0.15055200568836608
abs_return_rolling_max_1,0.1495865464927124
parkinson_var_rolling_var_2,0.14717059933839585
return_rolling_ptp_4,0.14647001302532814
close_to_vwap_rolling_iqr_96,0.1461636882782963
log_quote_volume_rolling_mean_12,0.14118657145102315
log_volume_rolling_max_4,0.14110676749361
abs_return_rolling_iqr_8,0.14081784858564722
range_hl_rolling_ptp_12,0.1404249987962768
parkinson_var_rolling_min_2,0.14024967022523746
range_hl_rolling_min_48,0.13794871126420855
close_to_vwap_rolling_mean_8,0.13119393937242152
range_hl_rolling_min_2,0.13030299634624962
return_rolling_min_96,0.1299936313350045
parkinson_var_rolling_var_12,0.12849772438336868
log_volume_lag_2,0.1271866177055444
squared_return_rolling_max_1,0.12634365195699793
range_pct_rolling_ptp_12,0.12575616315323418
imbalance_lag_1,0.12475113493713574
range_hl_rolling_max_96,0.12459908322646937
abs_return_rolling_max_2,0.12365199284129426
abs_return_rolling_var_48,0.12217787116371932
log_quote_volume_rolling_min_2,0.1213251684666742
range_pct_rolling_mean_48,0.12062222814736756
close_to_vwap_rolling_iqr_8,0.12036804425087679
log_quote_volume_rolling_var_24,0.11918423612500902
return_rolling_max_2,0.11912821290431198
range_hl_rolling_mean_48,0.1186516740955347
range_hl_lag_10,0.11771832595343497
garman_klass_var_rolling_max_12,0.11706851141348046
squared_return_rolling_ptp_24,0.11698810213479297
abs_return_rolling_min_1,0.11633199595105338
range_hl_rolling_max_8,0.11623429176955805
abs_return_rolling_iqr_4,0.11542311446015786
range_hl_rolling_ptp_8,0.11527636497404158
close_to_vwap_rolling_min_12,0.11418642066773649
log_volume_rolling_min_2,0.11407143649746852
garman_klass_var_rolling_iqr_48,0.11357018910154243
squared_return_rolling_mean_12,0.11298336562560851
squared_return_rolling_iqr_12,0.11280603700642548
log_quote_volume_rolling_min_8,0.11247701882573831
log_volume_rolling_mean_2,0.11164204188679877
buy_ratio_quote,0.11135596022713778
garman_klass_var_rolling_iqr_24,0.11097978780739944
garman_klass_var_rolling_iqr_96,0.11025548249116603
log_volume_lag_5,0.1100185982331345
illiq_rolling_mean_24,0.10944692193057377
log_quote_volume_rolling_max_12,0.1076870034126309
garman_klass_var_rolling_var_4,0.10766968332231366
squared_return_rolling_var_8,0.10627338245795949
abs_return_rolling_max_48,0.1050230286686286
return_rolling_min_48,0.10472438090137981
buy_ratio_rolling_var_24,0.10451829508186564
dow_sin,0.10421149685318128
return_rolling_min_8,0.10401839325657719
return_rolling_var_2,0.10379082607750496
log_quote_volume_expanding_var,0.10370595032572288
garman_klass_var_rolling_min_12,0.10357270876493292
illiq_rolling_min_8,0.10354479544894613
log_quote_volume_rolling_iqr_48,0.10305760250740877
squared_return_rolling_mean_48,0.10298378667600531
range_hl_rolling_iqr_4,0.10224608253612949
range_pct_rolling_ptp_4,0.10191529356732058
abs_return_rolling_mean_2,0.10089444831708147
range_hl_rolling_max_24,0.10071502000395598
range_pct_rolling_iqr_24,0.1006693611005529
range_pct_rolling_var_48,0.09996905120992383
squared_return_rolling_ptp_2,0.09972364251823883
imbalance_rolling_var_48,0.099497833616192
return_rolling_min_12,0.0994766043168742
garman_klass_var_rolling_mean_96,0.0988830414052754
squared_return_rolling_var_4,0.09842784602826891
range_pct_rolling_max_96,0.09801928157815817
return_rolling_max_96,0.09780415977837349
range_hl_rolling_iqr_48,0.09725038776275133
body_fraction,0.09715786929853092
garman_klass_var_rolling_iqr_4,0.09633682731779712
abs_return_rolling_var_96,0.09565493660700225
parkinson_var_rolling_ptp_12,0.09554088606724326
imbalance_rolling_mean_4,0.09537543577668404
log_volume_rolling_max_48,0.09471654448616135
imbalance_rolling_ptp_48,0.09463210854033045
buy_ratio_rolling_min_96,0.0943299200142606
buy_ratio_rolling_ptp_48,0.09421171808581644
range_pct_rolling_var_24,0.09388479635071612
range_hl_rolling_iqr_96,0.09381990278305315
range_pct_rolling_max_24,0.09339820564859377
illiq_rolling_iqr_12,0.09336913134868835
imbalance_rolling_mean_2,0.09286896999531832
log_volume_rolling_ptp_12,0.09231468120042327
close_to_vwap_rolling_max_2,0.09153971419148729
return_rolling_var_24,0.09092089153231624
garman_klass_var_rolling_var_24,0.09076988811551019
imbalance_rolling_max_2,0.09039704529854754
log_high,0.09020570389655357
close_to_vwap_rolling_ptp_48,0.08992750372676322
abs_return_rolling_max_24,0.08931426473139863
return_rolling_max_4,0.08904690452593535
log_volume_rolling_iqr_24,0.08828016275588316
close_to_vwap_rolling_var_48,0.0881890340942289
imbalance_rolling_mean_12,0.08791155269017811
return_rolling_max_24,0.08782526676806379
close_to_vwap_rolling_max_12,0.08700108789934255
parkinson_var_rolling_iqr_48,0.08689103983945862
return_rolling_iqr_12,0.08683752161851359
range_hl_rolling_var_96,0.08656364890595893
squared_return_rolling_mean_1,0.08647642665996519
buy_ratio_rolling_ptp_96,0.08633895358952724
buy_ratio_rolling_mean_1,0.08598039998144212
parkinson_var_rolling_var_8,0.0858482456425817
buy_ratio_rolling_var_4,0.085840178551548
range_pct_rolling_max_48,0.08578535029046411
parkinson_var_rolling_max_12,0.08570979387502779
abs_return_rolling_max_96,0.08512067284863678
imbalance_rolling_mean_1,0.08505002803795762
parkinson_var_rolling_min_96,0.0849288116374932
garman_klass_var_rolling_max_96,0.084497184667475
log_volume_rolling_var_96,0.08443028198868441
squared_return_rolling_max_24,0.0843551931961502
open_position,0.08421606631906006
range_pct_rolling_iqr_4,0.08377761816530443
range_pct_rolling_min_24,0.08308923112245671
abs_return_rolling_mean_12,0.08281980211667882
illiq_rolling_ptp_12,0.08174438039684626
squared_return_rolling_iqr_2,0.0808949849202554
log_volume_rolling_max_1,0.08049990230780871
illiq_rolling_mean_2,0.08042219240243426
squared_return_rolling_ptp_96,0.08041616222706001
squared_return_rolling_iqr_24,0.08013376133028167
buy_ratio_rolling_iqr_96,0.0799218724805622
imbalance_rolling_var_12,0.07943034393994668
log_volume_lag_1,0.07912369438730124
buy_ratio_rolling_min_4,0.07880675677534027
illiq_rolling_min_1,0.07856495307253403
close_to_vwap_rolling_var_12,0.0784998378791197
log_volume_rolling_min_96,0.0779388727953082
log_quote_volume_rolling_max_8,0.07791030685374468
imbalance,0.07781691701583737
log_quote_volume_rolling_max_4,0.07766609903418524
buy_ratio_rolling_min_8,0.07743532058492776
illiq_expanding_skew,0.07703472143580899
log_quote_volume_rolling_ptp_2,0.07689683124788049
log_quote_volume_rolling_max_48,0.07647017325024652
garman_klass_var_rolling_var_2,0.07565664494353426
upper_wick,0.07523526680052381
open_gap_return,0.0746901875688431
abs_return_lag_10,0.07451831087875875
return_rolling_iqr_24,0.07411794164301003
garman_klass_var_rolling_mean_48,0.07319559640991785
range_hl_rolling_ptp_96,0.07298773568016682
abs_return_rolling_var_24,0.0729055088621111
parkinson_var_rolling_ptp_2,0.07279544777303039
close_to_vwap_rolling_var_24,0.07264454334129057
range_pct_rolling_max_8,0.07242693526928416
range_hl_rolling_iqr_8,0.0721469114674661
abs_return_rolling_mean_48,0.07202232451650548
buy_ratio_rolling_max_24,0.07184019775068001
log_quote_volume_rolling_min_48,0.07161822834798866
close_to_vwap_rolling_iqr_48,0.07127699020727443
log_quote_volume_rolling_iqr_96,0.07121536655185141
range_pct_rolling_max_12,0.07101224124138612
log_volume_rolling_mean_8,0.07090861673386316
imbalance_expanding_mean,0.07084322632830357
log_volume_rolling_var_4,0.07061602095703255
log_volume_rolling_min_24,0.07059168038117662
close_to_vwap_rolling_mean_96,0.07015240804867338
parkinson_var_rolling_max_24,0.06988223597640775
parkinson_var_rolling_iqr_96,0.06955868180388626
imbalance_rolling_iqr_24,0.06909318980793663
garman_klass_var_rolling_iqr_2,0.06907086877374174
log_volume_expanding_mean,0.06882442926234582
illiq_rolling_mean_48,0.06850182499363418
buy_ratio,0.06835809618054046
buy_ratio_lag_5,0.06830907491265575
close_to_vwap_rolling_mean_2,0.06823092793648088
close_to_vwap_rolling_var_8,0.0680368827844872
illiq_rolling_ptp_2,0.06747891100367916
log_quote_volume_rolling_max_96,0.06735652610850948
garman_klass_var_rolling_ptp_24,0.06735436677803
return_rolling_ptp_2,0.06725679421077825
squared_return_rolling_iqr_8,0.06653365610263416
log_volume_rolling_mean_24,0.06649935766158228
return_lag_1,0.06597554727607995
log_volume_rolling_mean_4,0.06481656530746656
illiq_rolling_mean_8,0.06479826125467153
parkinson_var_rolling_iqr_24,0.06437019383611939
parkinson_var_rolling_iqr_2,0.0643369295623458
range_hl_rolling_var_4,0.06390040429972466
abs_return_rolling_iqr_48,0.06377311765466966
parkinson_var_rolling_iqr_12,0.06317649253478134
