alpha,target,marginal_coverage,marginal_gap_pp,regime_0_coverage,regime_1_coverage,regime_2_coverage,learner
0.05,0.95,0.9904719557898749,-4.047195578987495,0.9717434303475558,1.0,1.0,ARF
0.1,0.9,0.9623642253700058,-6.236422537000575,0.9190920222285015,0.9711810466760962,1.0,ARF
0.2,0.8,0.876040144826272,-7.604014482627197,0.8152962230385231,0.8544908062234795,0.9690279376373339,ARF
0.05,0.95,0.991297719621419,-4.129771962141904,0.9741923330507677,1.0,1.0,HAT
0.1,0.9,0.9647144762751699,-6.471447627516991,0.9223886220212866,0.9746287128712872,1.0,HAT
0.2,0.8,0.8848059454995871,-8.48059454995871,0.8200998398794387,0.8635077793493635,0.9818980851731715,HAT
