learner,n_test,brier,ece,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc,pr_auc_ci_lo,pr_auc_ci_hi,marginal_coverage_a05,marginal_coverage_a10,marginal_coverage_a20,max_per_regime_gap_pp_across_alphas,elapsed_s
ARF,31486,0.07823431600109604,0.015979100011886876,0.7757473117586503,0.7672833012243372,0.7842113222929634,0.302079790140252,0.28687442091646903,0.31894344330049446,0.9904719557898749,0.9623642253700058,0.876040144826272,16.90279376373338,230.16626715660095
HAT,31486,0.0839656665615943,0.015786320046444566,0.7075671991278294,0.6973091143718982,0.7178252838837605,0.2378715589469131,0.22675773759266785,0.25222872457678175,0.991297719621419,0.9647144762751699,0.8848059454995871,18.18980851731714,81.74283814430237
