pk_tercile,hurst_tercile,n_trades,sharpe_point,sharpe_ci_lo,sharpe_ci_hi,block_length,p_value_vs_zero,ci_excludes_zero,bh_significant
0,0,102,0.6146272480317885,0.3659278467780765,0.959340622338115,1,0.0,True,True
0,1,102,0.5260030630630137,0.29153550713131915,0.8449838329992749,1,0.0,True,True
0,2,120,0.4986175726001482,0.291564189009318,0.7785441127337897,1,0.0,True,True
1,0,758,0.15716798207570848,0.08571243976961448,0.23523059021319803,1,0.0,True,True
1,1,775,-0.018626358691682884,-0.081215012172194,0.055693697470368786,1,0.625,False,False
1,2,915,0.09964838377952209,0.030024101401572637,0.16407110706212583,1,0.003,True,True
2,0,1161,-0.00748053701335962,-0.0607472395953303,0.048203423085595255,1,0.812,False,False
2,1,1576,-0.015242320539726259,-0.06348470656637525,0.034524819761707154,1,0.562,False,False
2,2,1885,-0.07202213169844858,-0.11459647603198805,-0.0266676490526435,1,0.001,True,True
