strategy,knob_star,n_trades,block_length,sharpe_point,sharpe_ci_lo,sharpe_ci_hi,sharpe_se,sharpe_contains_null,sortino_point,sortino_ci_lo,sortino_ci_hi,max_dd_point,max_dd_ci_lo,max_dd_ci_hi
baseline_offline_tau,0.2,7394,1,0.007822042574938884,-0.0037134539543047626,0.01917094476056084,0.005712618072067703,True,0.004705832478468509,-0.002172609699440738,0.011686954063976586,0.32266854038917336,0.13579686441302202,0.5071794079471607
baseline_online_tau,0.1,7419,1,-0.027734522249768884,-0.03850607662806612,-0.016919690547962156,0.005411101133073256,False,-0.01718775541089932,-0.023818998374878993,-0.010472746931896376,1.5920768730683754,1.0012807834559154,2.1993539467491177
conformal_gate_tau,0.22,1875,19,-0.030896199284951548,-0.04034930933868839,-0.02106073637627783,0.00493425586715438,False,-0.008319651335571146,-0.011885866757360176,-0.005475273846727936,1.4420338130533017,0.9068204569983578,1.948027236145856
mondrian_aci_size,20.0,1906,1,-0.03050987624673401,-0.039815283048795114,-0.021214295409011083,0.004759803552269331,False,-0.007594681812099032,-0.01055875970672971,-0.005155735960730284,1.3235512847834419,0.8687445315256922,1.7537809979813064
null_random_at_rate,0.3781363145524995,8866,1,-0.0429879531724277,-0.053657246877416596,-0.03245558321658254,0.0053556456072572645,False,-0.027563135322324787,-0.03408172651130484,-0.021013867397985376,1.8371954294135366,1.3971699293690765,2.346171176303246
