predictor,roc_auc_point,roc_auc_ci_lo,roc_auc_ci_hi,roc_auc_se,pr_auc_point,pr_auc_ci_lo,pr_auc_ci_hi,pr_auc_se,n_pos,n_neg
p_offline,0.813026345593936,0.8053571287814154,0.8206955624064567,0.00391293762182084,0.3561682602799524,0.34124226352985754,0.3736921066644426,0.008226415833273932,3056,28430
p_online,0.7987621152716418,0.7906476227593262,0.8068766077839573,0.0041401232758977525,0.33102358118085246,0.3164527000623435,0.3480141992954793,0.007919902278323636,3056,28430
