strategy,n_trades,naive_sharpe_ci_lo,naive_sharpe_ci_hi,seq_sharpe_ci_lo,seq_sharpe_ci_hi,naive_sharpe_se,seq_sharpe_se,mean_uniqueness,median_uniqueness,ci_width_ratio_seq_over_naive
baseline_offline_tau,7394,-0.007116889492819914,0.04036370322153485,-0.005599853362700448,0.040216502425372586,0.011894959401746053,0.011938058632641066,1.0,1.0,0.9649491122342586
baseline_online_tau,7419,-0.07872735402693055,-0.034975243780644635,-0.07852940357216713,-0.03543421392031459,0.011120980078049007,0.011058716008257705,1.0,1.0,0.9849853963446451
conformal_gate_tau,1875,-0.1673390121434939,-0.08821113291507185,-0.16658822921178348,-0.08649699863389633,0.019977620615015675,0.019953179561465424,1.0,1.0,1.0121746135351886
mondrian_aci_size,1906,-0.16284434544541557,-0.08419209454237621,-0.161908754017064,-0.08376010014165022,0.020025496593257586,0.020166141072057192,1.0,1.0,0.9935971695425933
null_random_at_rate,8866,-0.10120895986898842,-0.06167834373673548,-0.10081422406063044,-0.06131739200869627,0.010177999939208416,0.009895149487792422,1.0,1.0,0.9991453692447964
