iter	Logloss
0	0.6894322968
1	0.6854615768
2	0.6816489224
3	0.6779004544
4	0.6744545209
5	0.6706112648
6	0.6670956601
7	0.6636513517
8	0.6600681873
9	0.6564717687
10	0.6531688208
11	0.6497459357
12	0.6464410269
13	0.6433576041
14	0.6401528791
15	0.6370236909
16	0.6339630663
17	0.6309596818
18	0.6279845939
19	0.6249786726
20	0.6221502364
21	0.6192475599
22	0.6166023761
23	0.6137145851
24	0.6110025527
25	0.6082805656
26	0.6056182705
27	0.6030585824
28	0.6004673534
29	0.5979564166
30	0.5955586464
31	0.5933012562
32	0.590943918
33	0.5886014334
34	0.5864050663
35	0.584243177
36	0.5819974458
37	0.5798106254
38	0.5776486187
39	0.5756687856
40	0.5737034593
41	0.5718095845
42	0.569679595
43	0.5678464467
44	0.5659329089
45	0.5639870208
46	0.5620757503
47	0.5601793182
48	0.5584126083
49	0.5565651084
50	0.5548809027
51	0.5531386061
52	0.5515383909
53	0.5498479223
54	0.5481189193
55	0.5466020023
56	0.5450751789
57	0.5435437004
58	0.5420796337
59	0.5404458716
60	0.5389222222
61	0.5374715665
62	0.5360526559
63	0.5346045222
64	0.5331822841
65	0.5318953003
66	0.5305206708
67	0.5292071642
68	0.5279279337
69	0.52660458
70	0.5254053963
71	0.5241813585
72	0.5230176756
73	0.5218604893
74	0.5206302894
75	0.5194729205
76	0.5184457192
77	0.5173029942
78	0.5161360887
79	0.5150090745
80	0.513838824
81	0.5127697837
82	0.5117567191
83	0.5106818476
84	0.5096536209
85	0.508667954
86	0.5076722386
87	0.5066802308
88	0.5057719477
89	0.5049015087
90	0.5039760883
91	0.503082066
92	0.5021330586
93	0.5012252589
94	0.5004295862
95	0.4996856439
96	0.4987585135
97	0.4979401349
98	0.4970819269
99	0.4962769477
100	0.4954168777
101	0.494613436
102	0.4937442744
103	0.4930085691
104	0.4921943189
105	0.4914687623
106	0.4907891283
107	0.4900546031
108	0.4894089424
109	0.488695153
110	0.488039042
111	0.48738359
112	0.4867273539
113	0.4861234954
114	0.4854280589
115	0.4848359142
116	0.484180705
117	0.4835909378
118	0.4830323501
119	0.482400923
120	0.4818255158
121	0.4812756521
122	0.4807672949
123	0.4802142253
124	0.4795922412
125	0.4790422108
126	0.478512287
127	0.4779664644
128	0.4774658954
129	0.4769130489
130	0.4764216863
131	0.4758812837
132	0.4753843222
133	0.4748671308
134	0.4743403952
135	0.4738573225
136	0.4734197494
137	0.4730073999
138	0.472575085
139	0.4721344058
140	0.4717259822
141	0.4713163313
142	0.4708915167
143	0.4704117122
144	0.4700201905
145	0.4695410293
146	0.4691089106
147	0.4686917753
148	0.4682725442
149	0.4679805045
150	0.4675814982
151	0.4672032387
152	0.4668700817
153	0.4664860711
154	0.4661227429
155	0.4657687503
156	0.4655090506
157	0.4651479661
158	0.4647713697
159	0.4643502402
160	0.4639877688
161	0.4636094776
162	0.4632774326
163	0.4629024344
164	0.4625348343
165	0.462194781
166	0.4618815481
167	0.461564491
168	0.4611786235
169	0.4608576675
170	0.4605365
171	0.4602532103
172	0.4600403022
173	0.4597609391
174	0.4594967992
175	0.4591492097
176	0.4588820686
177	0.4585926755
178	0.4583836034
179	0.4581363706
180	0.4577721342
181	0.4575400851
182	0.4573184855
183	0.4570737136
184	0.4568412451
185	0.4565941638
186	0.4563449584
187	0.4561143379
188	0.4558616857
189	0.4555726542
190	0.4552795335
191	0.4550373767
192	0.4547647065
193	0.4545671048
194	0.4543124651
195	0.4541120116
196	0.4538743119
197	0.4536684723
198	0.4534485759
199	0.4532480929
200	0.4530169052
201	0.4527712279
202	0.4525380338
203	0.4523239262
204	0.4521219627
205	0.4518423624
206	0.4516629958
207	0.4514977543
208	0.4512970228
209	0.4510899349
210	0.4508450544
211	0.4506110584
212	0.450386782
213	0.4501898481
214	0.4500049143
215	0.4497937243
216	0.4496082715
217	0.4494008198
218	0.4491985351
219	0.4490116167
220	0.4488178148
221	0.4486241865
222	0.4484384026
223	0.4482953308
224	0.4480832154
225	0.4478337353
226	0.4476507508
227	0.4474867293
228	0.4473639932
229	0.447230705
230	0.4470731437
231	0.4469063415
232	0.4467352665
233	0.4465844991
234	0.4464483556
235	0.4462744645
236	0.4461515103
237	0.4459935958
238	0.4458479447
239	0.445683912
240	0.4455216861
241	0.4453509452
242	0.445219198
243	0.4450049781
244	0.4448345681
245	0.4447305849
246	0.4445701118
247	0.4444121466
248	0.44423521
249	0.4440740665
250	0.4439419358
251	0.44379167
252	0.443666022
253	0.4435403348
254	0.4434022196
255	0.4432453949
256	0.4430864196
257	0.4429567274
258	0.4428094055
259	0.4426566328
260	0.4425119143
261	0.4424060171
262	0.4422892719
263	0.4421743485
264	0.4420494549
265	0.4419256264
266	0.4418045218
267	0.4416616398
268	0.4415187253
269	0.4413759559
270	0.4412225713
271	0.4410810279
272	0.4409293633
273	0.4407795091
274	0.4406465031
275	0.4404965061
276	0.4403704198
277	0.4402429861
278	0.4401537661
279	0.4400412852
280	0.4398933449
281	0.4397693606
282	0.4396838727
283	0.4395879139
284	0.4394919453
285	0.4393722656
286	0.4392530624
287	0.4391528012
288	0.4390522568
289	0.4389252138
290	0.438817925
291	0.4387288027
292	0.438661434
293	0.4385518225
294	0.4384507139
295	0.4383171517
296	0.4381980523
297	0.4380862339
298	0.4379591808
299	0.4378106423
300	0.437743057
301	0.4376667861
302	0.4375589176
303	0.4374607245
304	0.4373497118
305	0.4372488958
306	0.4371324311
307	0.4370553612
308	0.4369611244
309	0.4368714099
310	0.4367663035
311	0.4367005627
312	0.4365916987
313	0.4364928981
314	0.4363936304
315	0.4362929504
316	0.4361775916
317	0.4360699165
318	0.435958801
319	0.4358833077
320	0.4358174944
321	0.4357347658
322	0.4356065324
323	0.4355368455
324	0.435457721
325	0.435365287
326	0.4352797262
327	0.4352144549
328	0.4351315381
329	0.435005516
330	0.4349192575
331	0.4348362922
332	0.4347733847
333	0.4346822339
334	0.4345974365
335	0.4345219737
336	0.434454916
337	0.4343589517
338	0.4342646937
339	0.4341356521
340	0.4340751112
341	0.4339960224
342	0.4338800456
343	0.4337951778
344	0.4337217472
345	0.4336470869
346	0.4335366938
347	0.4334544481
348	0.4333910591
349	0.43332255
350	0.4332596161
351	0.4331733864
352	0.4330879914
353	0.4330013191
354	0.432914901
355	0.4328244482
356	0.4327705795
357	0.4327113792
358	0.432617373
359	0.4325611273
360	0.4324706821
361	0.4323971157
362	0.4323301006
363	0.4322771466
