strategy,knob,knob_star,val_sharpe_at_star,val_n_trades,test_sharpe,test_psr,test_n_trades,test_n_tp,test_n_sl,test_n_timeout,test_total_log_return,test_max_drawdown_log,test_cdar_5pct_log,test_hit_rate,test_avg_bars_held,p_boot,null_sharpe_mean,null_sharpe_std,deflated_sharpe_within,walk_forward_sharpe_mean,walk_forward_sharpe_std,deflated_sharpe_multi_strategy,deflated_sr_star_multi,within_strategy_pbo
baseline_offline_tau,tau,0.2,0.846337177849561,2674,0.6216561807209373,0.915258445450216,7394,1902,0,5492,0.43913206669944976,0.32266854038917336,0.2896428437025871,0.5650527454692994,17.71923180957533,0.0,-2.973447743921594,0.31735406117156595,0.0,1.6698667563301328,2.97301159086991,0.0,10.156698550277746,0.0
baseline_online_tau,tau,0.1,-1.7625441897229905,2877,-2.2004286946258858,1.867549415642426e-07,7419,1793,0,5626,-1.5314725704125893,1.5920768730683754,1.558313662072127,0.5059981129532282,17.760884216201646,0.0,-2.9825605874700845,0.30728172756656763,0.0,-2.2638307427345503,0.8016024034700671,0.0,10.156698550277746,0.011888111888111888
conformal_gate_tau,tau,0.22,-5.597386989139163,650,-5.284850614605093,9.168099016955745e-11,1875,795,0,1080,-1.3744900469265582,1.4420338130533017,1.4157452905869992,0.5424,15.306133333333333,0.485,-5.1570966142543195,1.8968636728698316,0.0,-6.124786858488212,4.86912635085691,0.0,10.156698550277746,0.0108003108003108
mondrian_aci_size,k,20.0,-5.736198878296376,686,-5.1729737610421065,7.99958767938922e-11,1906,809,0,1097,-1.2602271912203586,1.3235512847834419,1.3006264632890487,0.5283315844700944,15.315320041972718,0.595,-4.5889115517889225,2.2998768501473155,0.0,-5.716565154725286,2.7022573697636525,0.0,10.156698550277746,0.0
null_random_at_rate,target_rate,0.3781363145524995,-2.696214784219442,2686,-3.0129239329312747,4.828547089742995e-16,8866,906,0,7960,-1.8355896502137177,1.8371954294135366,1.7988549494841588,0.46435822242273855,19.087525377847957,1.0,-3.0129239329312747,0.0,,-3.095026795607577,0.2649221145257364,0.0,10.156698550277746,
