tau_open,signal,n_trades,n_tp,n_sl,n_timeout,trades_per_year_est,avg_bars_held,total_log_return,total_pct_return,ann_log_return,ann_pct_return,sharpe,probabilistic_sharpe,sortino,calmar,max_drawdown_log,cdar_5pct_log,hit_rate,profit_factor,avg_win,avg_loss,shuffled_null_sharpe_mean,shuffled_null_sharpe_std,shuffled_null_sharpe_q95,shuffled_null_total_log_return_mean,shuffled_null_n_trades_mean,bootstrap_p_value
0.1,offline,12736,2066,2159,8511,1559.4375436798211,16.852229899497488,-1.3216529160936905,-0.7333058855505403,-1.1031264255523785,-0.668167987827388,-1.486200952566333,1.048955906454706e-05,-2.6148541145629127,-0.8003439732204488,1.378315402455752,1.3377129431368529,0.5084798994974874,0.914418846621336,0.002180608053803661,-0.002466976145770958,-3.3768773934773835,0.21851941963472699,-3.0171731952825827,-2.7688517759641864,13521.355,0.0
0.1,final,8566,2058,2171,4337,1726.2056590752243,15.224141956572495,-1.9360988018704466,-0.8557343376786606,-1.6159777841947323,-0.8013037066682982,-2.981213916608759,1.5893606509375085e-11,-5.987523286483784,-0.8228272289027341,1.96393328688173,1.924145093746161,0.4820219472332477,0.8493630515220129,0.002643896735358672,-0.002896720401660212,-3.4148866513580303,0.31923841939363296,-2.9285251103614063,-1.8773922889236474,9190.71,0.08
0.15,offline,10407,2149,2181,6077,1636.3971208558455,16.059671375036032,-0.4499282963646054,-0.36232612648253204,-0.3755356548453862,-0.31307877245837634,-0.5841031805075745,0.07020916840318772,-1.1149056621656817,-0.5610983568671384,0.6692866771918007,0.5834763850979505,0.5211876621504756,0.9672790183224668,0.0024521614971984695,-0.0027594726584726317,-3.4457989638372544,0.28666429799802307,-2.9484840400564423,-2.3212982656526555,11186.585,0.0
0.15,final,5698,1732,1924,2042,1953.7784272536305,13.45085995085995,-1.8871852861018072,-0.8485023682399575,-1.575151791867989,-0.7930238669972705,-4.229139757266128,3.0272368235580644e-13,-10.056518247350258,-0.8272384510474496,1.9041085310692838,1.8563921141907627,0.47227097227097226,0.8114039431902318,0.0030172086891339465,-0.003327733245281416,-3.4875172242347263,0.4633616386089215,-2.747216909845381,-1.2624418899317271,6102.18,0.94
0.2,offline,8499,2185,2106,4208,1734.408982900806,15.152135545358277,0.28086671368231264,0.324277084155538,0.23442727674430466,0.26418453347768867,0.42953558435234585,0.8289456938366898,0.8934735520155537,0.5594220122063723,0.41905265010884807,0.3349427715008231,0.5346511354276974,1.0234237882520283,0.002700600377571816,-0.0030317727944384376,-3.447972866857684,0.32763348217966515,-2.874207125718497,-1.8861069560072479,9139.01,0.0
0.2,final,4035,1405,1581,1049,2202.7836058081807,11.930359355638165,-1.4706761334840472,-0.770229922588526,-1.2275096483504022,-0.7069786038857225,-4.688262960368672,1.3134458610649282e-10,-13.019352380290231,-0.8198875810591874,1.497168241973638,1.4666697546436487,0.4728624535315985,0.80825090244182,0.0032490137086461997,-0.003605921151660078,-3.471722760413568,0.5405917596644042,-2.633712940462215,-0.8652285108786046,4222.45,0.99
0.3,offline,5805,2083,1844,1878,1986.2174020597079,13.23118001722653,0.6904334660297422,0.9945799285291745,0.5762748995509631,0.7793976346850697,1.496681776635104,0.9946225379924898,3.813146204560369,1.8877218734266028,0.3052753203017698,0.23463294142836627,0.5450473729543497,1.0750475091185685,0.0031259119021552323,-0.0034835107127563114,-3.450363351094974,0.4817635795899461,-2.643356348279924,-1.2558940498138649,6138.255,0.0
0.3,final,1815,725,882,208,2860.2902374670184,9.187878787878788,-1.0248240188776458,-0.641140387633196,-0.8553762058090749,-0.5748767728331492,-7.731076984161696,6.102461567338627e-10,-33.784145976852784,-0.8019948104791171,1.066560774000604,1.0466196519649469,0.4534435261707989,0.7435028824947764,0.0036095214575526196,-0.004027681631495423,-3.4688533205730288,0.7489708841006705,-2.3497801332135415,-0.3724065837181187,1830.615,1.0
0.5,offline,2639,1196,1156,287,2674.7240541478654,9.825312618416067,-0.27929757356328305,-0.2436851895672265,-0.2331175834733875,-0.2079395651684245,-1.393036915478745,0.08311734749658223,-6.16574216290648,-0.595369191908843,0.391551304033683,0.37832815943272746,0.5126942023493748,0.946210718819353,0.0036312946436480357,-0.004037666583529603,-3.5166093911620293,0.6591971517823345,-2.5255477757609026,-0.5486696662468485,2653.84,0.005
0.5,final,346,147,196,3,4583.104838709678,5.734104046242774,-0.26973663884669,-0.23641943468312465,-0.22513748551391138,-0.20159355810678836,-12.999199828127978,0.0002586273980620099,-262.3020742122851,-0.8134774672471395,0.2767593382466895,0.2723463189692435,0.430635838150289,0.6813551429498907,0.0038709743906198066,-0.004297014330198172,-3.369527788156498,2.111183824537053,0.32681321727219587,-0.06776369901693256,344.88,1.0
