threshold,n_trades,trade_rate,precision,recall,predictor
0.0,31486,1.0,0.09705901035380804,1.0,p_offline
0.024999999999999998,29918,0.9502000889284127,0.10184504311785547,0.9970549738219895,p_offline
0.049999999999999996,26750,0.8495839420694912,0.11323364485981309,0.9911649214659686,p_offline
0.075,23488,0.7459823413580638,0.12644754768392372,0.9718586387434555,p_offline
0.09999999999999999,20471,0.6501619767515722,0.14078452444922085,0.9430628272251309,p_offline
0.12499999999999999,17822,0.5660293463761672,0.15677252833576477,0.9142670157068062,p_offline
0.15,15601,0.4954900590738741,0.1720402538298827,0.8782722513089005,p_offline
0.175,13640,0.4332084100870228,0.1877565982404692,0.838023560209424,p_offline
0.19999999999999998,11906,0.3781363145524995,0.20426675625734925,0.7958115183246073,p_offline
0.22499999999999998,10438,0.3315124182176205,0.22130676374784441,0.7558900523560209,p_offline
0.24999999999999997,9226,0.29301911960871496,0.2386733145458487,0.7205497382198953,p_offline
0.27499999999999997,8168,0.25941688369434035,0.2547747306562194,0.680955497382199,p_offline
0.3,7287,0.23143619386393952,0.27075614107314394,0.6456151832460733,p_offline
0.32499999999999996,6526,0.20726672171758878,0.28623965675758506,0.6112565445026178,p_offline
0.35,5814,0.18465349679222512,0.3018575851393189,0.5742801047120419,p_offline
0.37499999999999994,5156,0.163755319824684,0.31962761830876646,0.5392670157068062,p_offline
0.39999999999999997,4615,0.14657308009909165,0.3345612134344529,0.5052356020942408,p_offline
0.425,4128,0.13110588833132186,0.34593023255813954,0.46727748691099474,p_offline
0.44999999999999996,3679,0.11684558216350124,0.3612394672465344,0.4348821989528796,p_offline
0.475,3220,0.10226767452200979,0.37763975155279506,0.39790575916230364,p_offline
0.49999999999999994,2849,0.0904846598488217,0.383994383994384,0.3579842931937173,p_offline
0.5249999999999999,2482,0.07882868576510195,0.4041095890410959,0.32820680628272253,p_offline
0.5499999999999999,2130,0.06764911389188846,0.4183098591549296,0.2915575916230366,p_offline
0.575,1764,0.05602489995553579,0.44614512471655327,0.25752617801047123,p_offline
0.6,1450,0.046052213682271484,0.46827586206896554,0.22218586387434555,p_offline
0.0,31486,1.0,0.09705901035380804,1.0,p_online
0.024999999999999998,26465,0.8405323000698723,0.11347062157566598,0.9826570680628273,p_online
0.049999999999999996,20528,0.651972305151496,0.13878604832424007,0.9322643979057592,p_online
0.075,15590,0.4951406974528362,0.168505452212957,0.8596204188481675,p_online
0.09999999999999999,11998,0.3810582481102712,0.19819969994999168,0.7781413612565445,p_online
0.12499999999999999,9223,0.29292383916661374,0.2314865011384582,0.6986256544502618,p_online
0.15,7234,0.22975290605348409,0.26375449267348633,0.6243455497382199,p_online
0.175,5846,0.1856698215079718,0.2921655833048238,0.5589005235602095,p_online
0.19999999999999998,4738,0.15047957822524297,0.3208104685521317,0.4973821989528796,p_online
0.22499999999999998,3822,0.12138728323699421,0.34615384615384615,0.4329188481675393,p_online
0.24999999999999997,3074,0.09763069300641555,0.3718282368249837,0.37401832460732987,p_online
0.27499999999999997,2441,0.07752651972305151,0.397378123719787,0.3174083769633508,p_online
0.3,1922,0.06104300323953503,0.4136316337148803,0.2601439790575916,p_online
0.32499999999999996,1561,0.049577590040017785,0.433055733504164,0.2212041884816754,p_online
0.35,1251,0.039731944356221814,0.4548361310951239,0.1861910994764398,p_online
0.37499999999999994,998,0.03169662707234962,0.47995991983967934,0.15674083769633507,p_online
0.39999999999999997,768,0.024391793177920347,0.5078125,0.12761780104712042,p_online
0.425,629,0.0199771326938957,0.5230524642289348,0.10765706806282722,p_online
0.44999999999999996,498,0.015816553388807723,0.5461847389558233,0.08900523560209424,p_online
0.475,417,0.013243981452073937,0.5515587529976019,0.07526178010471204,p_online
0.49999999999999994,348,0.011052531283745157,0.5603448275862069,0.06380890052356021,p_online
0.5249999999999999,279,0.008861081115416376,0.5878136200716846,0.05366492146596859,p_online
0.5499999999999999,218,0.006923712126024265,0.6055045871559633,0.04319371727748691,p_online
0.575,181,0.005748586673442165,0.6464088397790055,0.03828534031413613,p_online
0.6,141,0.0044781807787588135,0.6737588652482269,0.031086387434554975,p_online
