strategy,knob,knob_star,val_sharpe_at_star,val_n_trades,test_sharpe,test_psr,test_n_trades,test_total_log_return,test_max_drawdown_log,test_cdar_5pct_log,test_hit_rate,test_avg_bars_held,p_boot,null_sharpe_mean,null_sharpe_std,deflated_sharpe_within,walk_forward_sharpe_mean,walk_forward_sharpe_std,deflated_sharpe_multi_strategy,deflated_sr_star_multi
baseline_offline_tau,tau,0.44,0.34744182944300733,1292,-0.08891614258017318,0.4580365714126414,3427,-0.023698464542885343,0.3608040282507513,0.2762620986212864,0.5246571345199883,10.772687481762475,0.0,-3.4589084517121425,0.6117533641175751,0.0,3.533767174261252,6.403822594295833,0.0,8.092513547965352
baseline_online_tau,tau,0.52,-2.2849879843457015,118,-11.591328259665831,0.0024248946511991145,289,-0.19948872169765128,0.2034000216976512,0.19948098510298798,0.4429065743944637,5.608996539792387,1.0,-3.503546111867361,2.233649397670141,1.3414823029589419e-212,-8.966605581805439,19.23429174923379,0.0,8.092513547965352
combined_avg_tau,tau,0.18,-1.1036209905321712,2693,-0.11589938284848196,0.40915148560483217,7207,-0.06563280669360393,0.536962375798437,0.4431434513907914,0.5251838490356597,14.323713056750382,0.0,-3.664845971138991,0.2604292223991392,0.0,1.3015803162658761,3.5133861177515904,0.0,8.092513547965352
combined_stacked_tau,tau,0.2,-0.01616279029479032,1303,-1.0747271674741934,0.09961117429999522,3466,-0.28990255424777855,0.4386129321516844,0.38524829027154506,0.5135603000577034,10.806982111944604,0.0,-3.583359618008455,0.6463620099944952,0.0,2.2674239368140126,6.184603587897471,0.0,8.092513547965352
conformal_gate_tau,tau,0.44,0.19526945843754537,1216,-1.0733662795707373,0.10997814927336946,3200,-0.2660268114228984,0.3712819234193093,0.3445549787379676,0.5146875,10.71375,0.39,-1.491511343821948,1.7351069876174114,0.0,0.5019583870151167,3.783053690641591,0.0,8.092513547965352
mondrian_aci_size,k,20.0,-0.8383498646367864,1427,-1.5052258056293137,0.02363694499029731,3840,-0.43471377434249947,0.5290099870727145,0.4991048670120248,0.5026041666666666,11.871354166666666,0.49,-1.6565218635541004,1.452099593535105,0.0,-0.2413976428078915,3.466024405357827,0.0,8.092513547965352
null_random_at_rate,target_rate,0.12253064854220924,-3.7516594994431554,1027,-3.962625183782338,4.1102205305951984e-10,3448,-0.7912573703119177,0.8398719866966301,0.8246023689722817,0.44779582366589327,18.35005800464037,1.0,-3.9626251837823365,1.3356108409035063e-15,,-4.084400172116069,1.6835655134651104,0.0,8.092513547965352
