fold,k_start,k_end,n,n_trades,sharpe,psr,total_log_return,max_drawdown_log,hit_rate,strategy
0,0,6296,6297,1114,-0.17059319597786923,0.4528623347608696,-0.015074216848496545,0.16554163816474354,0.5242369838420108,baseline_offline_tau
1,6297,12593,6297,1287,-1.6990725533973952,0.11427058153003389,-0.1658079102120124,0.1658079102120124,0.5120435120435121,baseline_offline_tau
2,12594,18890,6297,201,9.79002581907254,0.9960166661607242,0.15097932899312916,-0.0,0.6169154228855721,baseline_offline_tau
3,18891,25187,6297,100,11.206551148768455,0.9865955842174401,0.08884544616424317,-0.0,0.65,baseline_offline_tau
4,25188,31485,6298,725,-1.4580753471594694,0.21448957066716418,-0.08264111263974876,0.08264111263974876,0.5048275862068966,baseline_offline_tau
0,0,6296,6297,51,-24.45227612619294,0.008430279752601256,-0.075655292440086,0.0791665924400858,0.35294117647058826,baseline_online_tau
1,6297,12593,6297,211,-7.202567969818147,0.06799835366673244,-0.0896543292575635,0.0896543292575635,0.47393364928909953,baseline_online_tau
2,12594,18890,6297,3,18.501521094176802,0.6343843853245956,0.0035112999999998016,-0.0,0.6666666666666666,baseline_online_tau
3,18891,25187,6297,2,-1.9126656008293381,0.4862838610212536,-0.0004000000000001225,0.0004000000000001225,0.5,baseline_online_tau
4,25188,31485,6298,22,-29.767039306363568,0.045003095168628326,-0.03729040000000145,0.03729040000000145,0.3181818181818182,baseline_online_tau
0,0,6296,6297,2069,-0.37539724914952527,0.3441155236548087,-0.06117655143947889,0.24308650861663128,0.5248912518124698,combined_avg_tau
1,6297,12593,6297,2238,-1.693977582394336,0.034125926717083276,-0.29342689339402606,0.29342689339402606,0.5107238605898123,combined_avg_tau
2,12594,18890,6297,778,3.8678963300423925,0.9947917115291458,0.2396616128851787,-0.0,0.5539845758354756,combined_avg_tau
3,18891,25187,6297,476,6.148490846777464,0.9991538874246861,0.23492354153791095,-0.0,0.5987394957983193,combined_avg_tau
4,25188,31485,6298,1646,-1.4391107639466145,0.08561726534293307,-0.18561451628318953,0.18561451628318953,0.5103280680437424,combined_avg_tau
0,0,6296,6297,1121,-1.1053980342364853,0.22029631141376094,-0.09843160023072421,0.22038430819738644,0.5138269402319358,combined_stacked_tau
1,6297,12593,6297,1292,-2.1506310463660965,0.06312705493890422,-0.21052410390058948,0.21052410390058948,0.5054179566563467,combined_stacked_tau
2,12594,18890,6297,214,7.314068645804479,0.9821363043697974,0.12087988955239004,-0.0,0.5934579439252337,combined_stacked_tau
3,18891,25187,6297,99,10.453794242697434,0.9804015079786116,0.08214844053471648,-0.0,0.6363636363636364,combined_stacked_tau
4,25188,31485,6298,740,-3.174714123829269,0.04086322573872152,-0.1839751802035725,0.1839751802035725,0.48783783783783785,combined_stacked_tau
0,0,6296,6297,1069,-0.5797221424748308,0.34698676348989343,-0.049048605285322434,0.18214274128775593,0.520112254443405,conformal_gate_tau
1,6297,12593,6297,1262,-1.5795299075763647,0.13438855021632273,-0.15067876032964903,0.15067876032964903,0.5134706814580031,conformal_gate_tau
2,12594,18890,6297,153,6.829727196171699,0.9480319714096666,0.07978364175297994,-0.0,0.5816993464052288,conformal_gate_tau
3,18891,25187,6297,57,0.7493236619247156,0.5473571324212912,0.0034749037351903943,-0.0,0.543859649122807,conformal_gate_tau
4,25188,31485,6298,659,-2.9100068729696353,0.06604432540539777,-0.14955799129609773,0.14955799129609773,0.49013657056145676,conformal_gate_tau
0,0,6296,6297,1233,-1.2597325217341384,0.16967554323266698,-0.11856432879546801,0.24408028322449568,0.5077047850770479,mondrian_aci_size
1,6297,12593,6297,1541,-2.076419309672283,0.043248383475661734,-0.23901332916402265,0.23901332916402265,0.4990266060999351,mondrian_aci_size
2,12594,18890,6297,189,5.893947558435741,0.9493501121046933,0.07941492233391081,-0.0,0.5661375661375662,mondrian_aci_size
3,18891,25187,6297,59,-1.3252543012997264,0.41395394975885264,-0.0053067685671285125,0.0053067685671285125,0.5084745762711864,mondrian_aci_size
4,25188,31485,6298,818,-2.439529639769051,0.06888116620066886,-0.1512442701497918,0.1512442701497918,0.48655256723716384,mondrian_aci_size
0,0,6296,6297,707,-2.0236645920961354,0.07897675202646148,-0.0902175060374428,0.15600999945492433,0.49222065063649223,null_random_at_rate
1,6297,12593,6297,671,-5.980031445856579,4.7532569554620147e-05,-0.26092513886698077,0.26092513886698077,0.4336810730253353,null_random_at_rate
2,12594,18890,6297,699,-3.41713240694421,0.007672789816940947,-0.1202459976171303,0.1202459976171303,0.4234620886981402,null_random_at_rate
3,18891,25187,6297,703,-5.6637401943519885,2.2607001230851686e-05,-0.1848502724038655,0.1848502724038655,0.422475106685633,null_random_at_rate
4,25188,31485,6298,668,-3.337432221331431,0.012093156169234273,-0.13501845538650317,0.13501845538650317,0.46706586826347307,null_random_at_rate
